City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Grand Gaube,MU,73.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
4,Qui Nhon,VN,78.03,light rain,13.7667,109.2333,Hoang Yen Canary Hotel
6,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
8,Port Elizabeth,ZA,62.89,overcast clouds,-33.918,25.5701,39 On Nile Guest House
9,Talara,PE,65.25,scattered clouds,-4.5772,-81.2719,Hostal Oro Negro
10,Hithadhoo,MV,81.41,heavy intensity rain,-0.6,73.0833,Scoop Guest House
13,Puerto Leguizamo,CO,72.82,overcast clouds,-0.1934,-74.7819,la casona de juancho
14,Upleta,IN,77.63,clear sky,21.7333,70.2833,Power Of Patta
15,Maldonado,UY,63.79,few clouds,-34.6667,-54.9167,La Cimarrona
16,Namanga,KE,64.35,scattered clouds,-2.5433,36.7905,Hillsgate Home
17,Rantepao,ID,82.56,few clouds,-2.9701,119.8978,Hotel Luta Resort
18,Hobart,AU,73.26,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
24,Cape Town,ZA,64.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
26,East London,ZA,66.18,light rain,-33.0153,27.9116,Tu Casa
30,San Vicente,AR,68.56,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
32,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
33,Mataura,NZ,63.0,broken clouds,-46.1927,168.8643,Ellie's Villa
34,Saint-Philippe,RE,73.22,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
40,Doha,QA,73.38,clear sky,25.2867,51.5333,Movenpick Hotel Doha
41,Rikitea,PF,75.81,clear sky,-23.1203,-134.9692,People ThankYou
42,Busselton,AU,67.05,clear sky,-33.65,115.3333,Observatory Guest House
43,Benghazi,LY,66.02,overcast clouds,32.1167,20.0667,Tibesti Hotel
45,Lujan,AR,70.02,broken clouds,-34.5703,-59.105,Hotel Biarritz
46,Asfi,MA,61.81,overcast clouds,32.2994,-9.2372,Hôtel Abda
47,Hilo,US,84.27,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
52,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
53,Ribeira Grande,PT,65.89,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
54,Souillac,MU,73.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
55,Sete Lagoas,BR,70.12,clear sky,-19.4658,-44.2467,Sete Lagoas Residence Hotel Centro de Convenções
56,Kapaa,US,82.38,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
57,Road Town,VG,78.89,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
59,Touros,BR,79.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
61,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
62,New Norfolk,AU,72.91,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
63,Aden,YE,78.67,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
67,Bambous Virieux,MU,72.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
68,Tura,IN,67.5,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
73,Butaritari,KI,81.95,light rain,3.0707,172.7902,Isles Sunset Lodge
74,Kavieng,PG,84.4,light rain,-2.5744,150.7967,Nusa Island Retreat
75,Bengkulu,ID,79.74,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
76,Bom Jesus,BR,80.53,moderate rain,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
77,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
79,Amapa,BR,71.02,scattered clouds,1.0,-52.0,
80,Vila Franca Do Campo,PT,68.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
81,Cabo San Lucas,MX,76.3,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
82,Mahebourg,MU,72.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
84,Villarrica,PY,76.77,overcast clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
85,Neiafu,TO,84.88,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
86,Chuy,UY,66.36,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
88,Atambua,ID,85.53,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
90,Ponta Do Sol,PT,68.72,overcast clouds,32.6667,-17.1,Hotel do Campo
91,Castro,BR,62.24,clear sky,-24.7911,-50.0119,CHACARA BAILLY
92,Kandrian,PG,85.14,light rain,-6.2167,149.55,Kandrian Station
93,Nokaneng,BW,71.82,overcast clouds,-19.6667,22.2667,
94,Surt,LY,69.64,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
95,Esperance,AU,60.64,overcast clouds,-33.8667,121.9,Hospitality Esperance
96,Malinyi,TZ,70.57,few clouds,-8.9333,36.1333,
97,Antalaha,MG,73.38,light rain,-14.9003,50.2788,Hotel Vitasoa
98,Ponta Delgada,PT,68.5,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
99,Dire,ML,73.22,few clouds,12.2833,-10.9667,
103,Ahuimanu,US,82.11,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
107,Bowen,AU,86.22,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
108,Karratha,AU,88.09,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
111,Taoudenni,ML,79.29,overcast clouds,22.6783,-3.9836,
113,Booue,GA,72.1,light rain,-0.0921,11.9385,Splendeur de l'équateur
114,Port Alfred,ZA,65.52,light rain,-33.5906,26.891,The Halyards Hotel
116,San Patricio,US,67.84,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
120,Puerto Ayora,EC,68.38,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
121,Ponta Pora,BR,69.69,broken clouds,-22.5361,-55.7256,Hotel Pousada do Bosque
123,Tucuman,AR,80.6,few clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
125,Nanyamba,TZ,67.42,broken clouds,-10.6833,39.8333,Busati Lodge Nanyamba
128,Mvuma,ZW,64.92,light rain,-19.2792,30.5283,Nyangombe Backpackers
130,Port Blair,IN,82.94,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
133,Tsabong,BW,63.73,clear sky,-26.0217,22.401,Springbok Motel
135,Meulaboh,ID,76.93,overcast clouds,4.1363,96.1285,Kost Pria
136,Linhares,BR,66.92,broken clouds,-19.3911,-40.0722,Hotel Conceição
137,Antofagasta,CL,61.88,overcast clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
138,Cayenne,GF,80.1,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
139,Sinnamary,GF,78.13,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
140,Bilma,NE,72.55,clear sky,18.6853,12.9164,Expeditions Ténére voyages
146,Kattivakkam,IN,80.69,overcast clouds,13.2167,80.3167,Euronova Freezer
147,Atuona,PF,77.29,light rain,-9.8,-139.0333,Villa Enata
148,Arraial Do Cabo,BR,70.03,clear sky,-22.9661,-42.0278,Pousada Porto Praia
149,Pedro Carbo,EC,74.68,overcast clouds,-1.8333,-80.2333,Centro turístico y hostería oasis pedro carbo
152,Mgandu,TZ,64.67,broken clouds,-5.95,34.1333,
154,Moree,AU,84.22,scattered clouds,-29.4667,149.85,Molika Springs Motel
155,Mamallapuram,IN,80.65,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
156,Ahipara,NZ,68.29,few clouds,-35.1667,173.1667,Ahipara Holiday Park
157,Airai,TL,75.56,overcast clouds,-8.9266,125.4092,Juvinal Martin
159,Abakaliki,NG,76.1,overcast clouds,6.3163,8.1169,Grande Vitesse Apartments and Hotels
162,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
164,Paso De Carrasco,UY,65.25,few clouds,-34.8603,-56.0522,Hotel Sofitel Montevideo Casino Carrasco and Spa
168,Sal Rei,CV,75.76,clear sky,16.1833,-22.9167,Marine Club Beach Resort
171,Quang Ngai,VN,76.26,overcast clouds,15.1167,108.8,Central Hotel
173,Zongolica,MX,63.37,overcast clouds,18.6667,-96.9833,"Hotel Posada ""Sol y Luna"""
174,Mtwara,TZ,76.86,scattered clouds,-10.2667,40.1833,TIL Hotels Mtwara
175,Faanui,PF,81.28,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
176,Adrar,MR,75.06,overcast clouds,20.5022,-10.0711,
181,Arlit,NE,72.0,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
186,Kloulklubed,PW,88.3,broken clouds,7.0419,134.2556,Storyboard Beach Resort
191,Sarandi,BR,76.55,clear sky,-23.4436,-51.8739,HOTEL GRALHA AZUL (GAPH) - Maringá
192,Buchanan,LR,77.43,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
193,Ouahigouya,BF,76.24,clear sky,13.5828,-2.4216,Hotel Liberte
195,Amahai,ID,86.05,scattered clouds,-3.3333,128.9167,HOTEL ISABELA
196,Kariba,ZW,73.85,overcast clouds,-16.5167,28.8,Caribbea Bay Hotel
198,Bolobo,CD,71.06,broken clouds,-2.1667,16.2333,Hotel de Stephen
199,Katsuura,JP,64.18,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
201,Barra Patuca,HN,78.46,clear sky,15.8,-84.2833,
202,Labuhan,ID,83.17,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
205,Bandarbeyla,SO,76.19,broken clouds,9.4942,50.8122,JABIR HOTEL
206,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
207,Tias,ES,64.08,clear sky,28.9611,-13.645,Hotel Beatriz Playa & SPA
208,Bom Jardim,BR,75.54,broken clouds,-7.7958,-35.5872,Pousada do Posto Jose Breno
209,Geraldton,AU,76.12,clear sky,-28.7667,114.6,Broadwater Mariner Resort
210,Pedasi,PA,76.06,overcast clouds,7.5333,-80.0333,Selina Pedasi
213,Simao,CN,64.94,few clouds,22.7886,100.9748,Changyu Hotel
214,Pacific Grove,US,64.62,clear sky,36.6177,-121.9166,Lovers Point Inn
